"시점"	"구분별(1)"	구분별(2)	소계	종로구	중구	용산구	성동구	광진구	동대문구	중랑구	성북구	강북구	도봉구	노원구	은평구	서대문구	마포구	양천구	강서구	구로구	금천구	영등포구	동작구	관악구	서초구	강남구	송파구	강동구
"2011 1/4"	"65세이상 인구"	내국인	1018534	22595	17707	31231	32327	32580	43106	42282	53839	42156	38518	57325	54528	39623	41831	39472	50965	39808	24272	43358	42901	51411	37596	44834	53766	40503
"2011 2/4"	"65세이상 인구"	내국인	1025615	22708	17748	31414	32279	32822	43409	42586	54084	42501	38887	57618	55133	39531	42120	39813	51287	40064	24396	43561	43347	51720	37888	45652	54131	40916
"2011 3/4"	"65세이상 인구"	내국인	1038150	22857	17865	31623	32525	33183	43966	43230	54690	42990	39383	58148	55896	39835	42395	40611	51853	41006	24674	43741	43881	52406	38416	46612	54788	41576
"2011 4/4"	"65세이상 인구"	내국인	1044750	22800	17928	31623	32659	33418	44229	43676	55083	43453	39781	58584	56485	39740	42396	41004	52152	41450	24761	43215	44132	52725	38933	47041	55316	42166
"2012 1/4"	"65세이상 인구"	내국인	1065727	23153	18353	31974	33216	34109	44975	44723	55989	44411	40551	59450	57977	40239	43068	41781	53295	42525	25388	44078	45068	53843	39915	47994	56639	43013
"2012 2/4"	"65세이상 인구"	내국인	1078098	23329	18584	32172	33483	34586	45582	45195	56619	44953	41052	60002	58886	40591	43276	42291	54013	43239	25800	44365	45628	54570	40560	48512	57278	43532
"2012 3/4"	"65세이상 인구"	내국인	1092672	23573	18775	32502	33773	35162	46163	45843	57336	45561	41695	60602	59791	41028	43680	42956	54910	43932	26146	44932	46335	55402	41194	49246	57997	44138
"2012 4/4"	"65세이상 인구"	내국인	1105583	23730	18690	32786	34056	35539	46625	46402	58000	46147	42230	61150	60649	41756	44027	43392	55641	44579	26476	45417	47007	56238	41649	50206	58341	44850
"2013 1/4"	"65세이상 인구"	내국인	1124282	23686	18888	33137	34581	36192	47298	47202	58808	46835	42973	62043	61862	42531	44635	44264	56693	45378	26945	46117	48001	57226	42596	51226	59335	45830
"2013 2/4"	"65세이상 인구"	내국인	1135929	23696	19021	33282	34897	36515	47796	47701	59415	47248	43548	62514	62828	42778	44861	44780	57665	45985	27276	46443	48604	57868	43132	51775	59943	46358
"2013 3/4"	"65세이상 인구"	내국인	1149455	23805	19058	33610	35156	36975	48438	48295	59845	47897	43976	63252	63566	43167	45290	45328	58588	46727	27635	46827	49225	58610	43795	52498	60771	47121
"2013 4/4"	"65세이상 인구"	내국인	1161708	23853	19152	33775	35296	37413	48911	48937	60353	48465	44434	63731	64188	43529	45508	45896	59330	47367	27948	47258	49863	59333	44554	53300	61592	47722
"2014 1/4"	"65세이상 인구"	내국인	1178004	24068	19351	34083	35719	37850	49469	49847	60900	49082	45025	64479	64928	44008	45991	46576	60246	48441	28321	47985	50572	60191	45285	54336	62845	48406
"2014 2/4"	"65세이상 인구"	내국인	1188361	24093	19415	34103	35951	38267	49636	50413	61170	49653	45395	65012	65437	44299	46146	47006	61286	49176	28584	48405	50989	60830	45756	55196	63324	48819
"2014 3/4"	"65세이상 인구"	내국인	1204968	24271	19608	34376	36316	38603	50187	51375	61739	50298	45973	65901	66277	44755	46480	47548	63156	49982	28972	48948	51673	61682	46701	56340	64226	49581
"2014 4/4"	"65세이상 인구"	내국인	1233528	24543	19882	34960	37012	39264	51373	52738	62537	51429	47064	67222	67788	45416	47598	48895	65222	51495	29794	49915	52858	63211	47933	58334	66154	50891
"2015 1/4"	"65세이상 인구"	내국인	1233528	24543	19882	34960	37012	39264	51373	52738	62537	51429	47064	67222	67788	45416	47598	48895	65222	51495	29794	49915	52858	63211	47933	58334	66154	50891
"2015 2/4"	"65세이상 인구"	내국인	1243829	24584	19947	35078	37459	39570	51636	53263	62686	51821	47622	67867	68579	45611	48019	49456	66274	52074	30160	50256	53119	63681	48300	58763	66918	51086
"2015 3/4"	"65세이상 인구"	내국인	1253588	24684	20011	35231	37770	39860	51980	53531	62960	52223	48139	68369	69118	45859	48225	49937	67089	52608	30522	50582	53250	64218	48938	59442	67566	51476
"2015 4/4"	"65세이상 인구"	내국인	1262436	24752	20081	35352	38025	40205	52331	54021	63132	52503	48553	68843	69610	46417	48348	50282	67792	53146	30745	50839	53425	64677	49171	60191	68147	51848
"2016 1/4"	"65세이상 인구"	내국인	1274296	24844	20181	35492	38392	40570	52779	54597	63616	52921	49115	69505	70141	46961	48629	50774	68739	53724	31071	51240	54006	65407	49680	60807	68812	52293
"2016 2/4"	"65세이상 인구"	내국인	1280784	24863	20206	35596	38590	40817	52965	55053	63743	53155	49531	69991	70423	47054	48318	51154	69364	54242	31369	51343	54383	65704	50028	61047	69363	52482
"2016 3/4"	"65세이상 인구"	내국인	1288162	24890	20316	35622	38802	41080	53086	55417	63795	53622	49990	70374	70858	47148	48234	51668	70010	54690	31670	51297	54770	66180	50453	61349	70062	52779
"2016 4/4"	"65세이상 인구"	내국인	1295899	24950	20388	35547	39140	41292	53301	55842	63878	53964	50466	70819	71304	47303	48060	51957	70889	55159	31976	51186	55052	66659	50906	61822	70918	53121
"2017 1/4"	"65세이상 인구"	내국인	1315717	25271	20519	35807	39856	42035	53986	56682	64547	54716	51261	71862	72160	47771	48492	52860	72347	56192	32607	51644	55806	67737	51638	63046	72343	54532
"2017 2/4"	"65세이상 인구"	내국인	1333704	25593	20731	36097	40355	42706	54634	57744	65219	55408	52127	72937	72968	48178	48935	53730	73782	56956	33114	52356	56347	68572	52043	63856	73746	55570
"2017 3/4"	"65세이상 인구"	내국인	1348123	25882	21012	36321	40781	43416	55109	58597	65808	55982	52863	73520	73687	48610	49174	54492	74850	57672	33477	52910	56714	69163	52647	64467	75151	55818
"2017 4/4"	"65세이상 인구"	내국인	1359901	26030	21148	36488	41152	43790	55547	59189	66121	56437	53445	74178	74400	48898	49356	55136	75845	58213	33842	53299	57071	69729	53119	64946	76442	56080
"2018 1/4"	"65세이상 인구"	내국인	1376261	26254	21396	36783	41608	44273	56086	59897	66745	56898	54247	75015	75369	49237	49815	55960	77152	59107	34234	53886	57489	70425	53960	65725	77816	56884
"2018 2/4"	"65세이상 인구"	내국인	1387631	26340	21540	36887	42026	44617	56487	60534	66982	57297	54930	75674	75937	49526	50050	56633	77818	59845	34543	54188	57914	70949	54520	65876	78937	57581
"2018 3/4"	"65세이상 인구"	내국인	1399494	26455	21651	37015	42438	45016	56915	61189	67305	57640	55462	76400	76483	49871	50271	57338	78596	60579	34913	54571	58590	71475	54795	66282	80060	58184
"2018 4/4"	"65세이상 인구"	내국인	1410297	26572	21750	37212	42629	45432	56991	61748	67646	58103	55926	77032	77263	50045	50544	57941	79445	61105	35354	54906	59265	71888	54663	66957	81211	58669
"2019 1/4"	"65세이상 인구"	내국인	1429163	26776	22120	37564	42916	46062	57377	62690	68453	58747	56691	78094	78228	50619	50951	58813	80647	62129	35817	55510	60211	72578	55262	67963	83315	59630
"2019 2/4"	"65세이상 인구"	내국인	1444763	26943	22450	37785	43218	46545	57891	63574	69182	59082	57315	78975	79102	50928	51279	59613	81716	63160	36251	55956	60764	73281	55753	68878	84573	60549
"2019 3/4"	"65세이상 인구"	내국인	1461460	27181	22733	38073	43512	47126	58581	64351	70048	59702	58020	79897	79782	51271	51628	60368	82693	64099	36724	56426	61370	74106	56356	69899	85910	61604
"2019 4/4"	"65세이상 인구"	내국인	1478664	27318	22974	38346	43796	47681	59170	65065	70699	60474	58664	80854	80567	51645	52104	61147	83839	64932	37196	56957	61994	74787	57036	70896	87182	63341
"2020 1/4"	"65세이상 인구"	내국인	1510460	27855	23448	38947	44547	48721	60157	66649	71997	61537	59968	82605	82046	52568	52912	62622	85713	66383	37948	58266	63090	76174	58226	72461	89346	66274
"2020 2/4"	"65세이상 인구"	내국인	1527341	27986	23695	39165	44826	49196	60616	67525	72651	62218	60732	83559	83080	53008	53334	63687	86762	67249	38404	58976	63767	76856	58958	72958	90515	67618
"2020 3/4"	"65세이상 인구"	내국인	1544944	28193	23937	39524	45199	49793	61215	68547	73202	62839	61340	84541	84172	53416	53709	64673	87790	68289	38821	59764	64407	77734	59394	73803	91967	68675
"2020 4/4"	"65세이상 인구"	내국인	1561139	28311	24174	39779	45435	50311	61612	69341	73613	63313	62009	85420	85010	53756	54002	65541	88733	69201	39314	60663	64928	78430	60072	74959	93309	69903
"2021 1/4"	"65세이상 인구"	내국인	1559400	27554	24400	39048	45783	50078	60652	69709	72974	62777	62307	85829	84931	52964	53132	66078	89127	69485	39148	59899	65091	77874	60099	75440	93957	71064
"2021 2/4"	"65세이상 인구"	내국인	1568769	27386	23621	38375	45410	50533	61051	70045	73393	63268	62845	86621	85716	53167	53533	66792	90160	69980	39567	60312	65429	78128	60292	76028	94978	72139
"2021 3/4"	"65세이상 인구"	내국인	1584249	27556	23863	38401	45876	50998	61554	70786	74067	63799	63401	87462	86521	53605	53900	67732	91267	70744	40077	60869	66010	78933	60388	77072	96272	73096
"2021 4/4"	"65세이상 인구"	내국인	1597447	27609	24037	38552	46201	51450	62009	71560	74545	64218	64114	88271	87038	53822	54231	68483	92336	71445	40442	61295	66320	79371	60574	78078	97503	73943
