자치구	2021	2022예측	2023예측	복지관수
종로구	27609	27958.96 27473.97 11  
중구	24037	24107.91	23986.99	3      
용산구	38552	38753.14	38770.78	5
성동구	46201	47812.41	48346.97	6
광진구	51450	53393.35	54819.79	20
동대문구	62009	64170.67	65519.88	25
중랑구	71560	74292.37	77024.75	48
성북구	74545	76549.85	77956.16	24
강북구	64218	66577.43	68576.38	32
도봉구	64114	66499.70	68886.65	54
노원구	88271	91653.92	95036.84	30
은평구	87038	90476.80	92796.45	24
서대문구	53822	53411.52	53411.52	18
마포구	54231	55335.81	55981.04	4
양천구	68483	71776.97	75070.95	22
강서구	92336	96573.36	100499.02	30
구로구	71445	73689	75933	17
금천구	40442	41570	42698	25
영등포구	61295	62970.10	64645.21	21
동작구	66320	68237.24	69975.57	10
관악구	79371	81822.11	83429.24	36
서초구	60574	62722.56	64871.12	6
강남구	78078	81622.74	84975.47	10
송파구	97503	102393.14	107283.27	23
강동구	73943	78220.50	82576.53	24
