"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소"
"서울꽃동네신내노인요양원","A0001","(노인) 노인요양시설","노인의료복지시설","자치구","최은숙","1126000000","중랑구","서울특별시 중랑구 신내로 194 "
"청운노인요양원","A0003","(노인) 노인요양시설","노인의료복지시설","자치구","이종후","1111000000","종로구","서울특별시 종로구 비봉길 76 (구기동)"
"천사노인요양원","A0007","(노인) 노인요양시설","노인의료복지시설","자치구","김샛별","1150000000","강서구","서울특별시 강서구 강서로45다길 30-22"
"서울특별시립 남부노인전문요양원","A0016","(노인) 노인요양시설","노인의료복지시설","자치구","한철수","1156000000","영등포구","경기도 군포시 고산로 589"
"노인요양센터 인영실버","A0099","(노인) 노인요양시설","노인의료복지시설","자치구","이희법","1154500000","금천구","서울특별시 금천구 금하로 596-0 "
"동명노인복지센타","A0100","(노인) 노인요양시설","노인의료복지시설","자치구","김병한","1162000000","관악구","서울특별시 관악구 봉천로23라길 15(봉천동)"
"영기노인요양원","A0131","(노인) 노인요양시설","노인의료복지시설","자치구","김원제","1135000000","노원구","서울특별시 노원구 동일로248길 30 (상계동)"
"은천노인요양센터","A0343","(노인) 노인요양시설","노인의료복지시설","자치구","박애자","1123000000","동대문구","서울특별시 동대문구 장한로27가길 66 (장안동)"
"동작실버센터","A0347","(노인) 노인요양시설","노인의료복지시설","자치구","이재희","1159000000","동작구","서울특별시 동작구 노량진로32길 53 (본동)"
"구립서초노인요양센터","A0368","(노인) 노인요양시설","노인의료복지시설","자치구","나종선","1165000000","서초구","서울특별시 서초구 남부순환로340길 21 (서초동 380-4)"
"구립서초노인요양센터","A0386","(노인) 노인요양시설","노인의료복지시설","자치구","이민정","1165000000","서초구","서울특별시 서초구 남부순환로340길21"
"광림노인전문요양원","A0400","(노인) 노인요양시설","노인의료복지시설","자치구","홍종환","1168000000","강남구","강원 춘천시 서면 경춘로 771-79(서면)"
"사랑의집","A0519","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김원태","1117000000","용산구","서울특별시 용산구 효창원로15길 24(산천동)"
"청운노인복지센터","A0607","(노인) 노인요양시설","노인의료복지시설","자치구","손창숙","1159000000","동작구","서울특별시 동작구 국사봉1길 145(상도동)"
"두엄자리","A0765","(노인) 노인요양시설","노인의료복지시설","자치구","김명화","1147000000","양천구","서울특별시 양천구 목동중앙남로16다길 6-13 (목동)"
"청운실버센터","A0937","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이지원","1111000000","종로구","서울특별시 종로구 자하문로28길 29 (청운동)"
"시립중계노인전문요양원","A0974","(노인) 노인요양시설","노인의료복지시설","자치구","민동세","1135000000","노원구","서울특별시 노원구 섬밭로 313 (중계동)"
"시립서부노인전문요양센터","A1025","(노인) 노인요양시설","노인의료복지시설","자치구","이희근","1144000000","마포구","서울특별시 마포구 월드컵로36길 15 (성산동)"
"중앙소규모요양시설","A1302","(노인) 노인요양시설","노인의료복지시설","자치구","박형준","1141000000","서대문구","서울특별시 서대문구 서소문로 43-49 (합동)"
"남부실버요양원","A1307","(노인) 노인요양시설","노인의료복지시설","자치구","송평섭","1154500000","금천구","서울특별시 금천구 범안로12가길 59"
"순애노인전문요양원","A1310","(노인) 노인요양시설","노인의료복지시설","자치구","마민주","1129000000","성북구","경기 고양시 덕양구 고골길 178번길73(관산동)"
"어르신이행복한세상요양센터01호","A1328","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","박병택","1147000000","양천구","서울특별시 양천구 신월로 338원빌딩 2층"
"한사랑실버케어요양원","A1515","(노인) 노인요양시설","노인의료복지시설","자치구","주광미","1123000000","동대문구","서울특별시 동대문구 장한로28길 56 (장안동)"
"자비의집","A1547","(노인) 노인요양시설","노인의료복지시설","자치구","허영숙","1138000000","은평구","서울특별시 은평구 서오릉로 30-17(녹번동)"
"구립하계실버센터","A1703","(노인) 노인요양시설","노인의료복지시설","자치구","김민성","1135000000","노원구","서울특별시 노원구 한글비석로 4 (하계동)"
"정성요양원","A1704","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김대경","1159000000","동작구","서울특별시 동작구 보라매로 89-0거성빌딩 6층"
"효림노인요양센터","A1723","(노인) 노인요양시설","노인의료복지시설","자치구","김동금","1141000000","서대문구","서울특별시 서대문구 경기대로9길 62 (충정로3가)"
"호선실버센터","A1926","(노인) 노인요양시설","노인의료복지시설","자치구","배국원","1150000000","강서구","서울특별시 강서구 수명로2길 96-0"
"강북노인전문요양원","A1945","(노인) 노인요양시설","노인의료복지시설","자치구","김응익","1130500000","강북구","서울특별시 강북구 삼양로92길 20(수유동)"
"유자원","A2007","(노인) 노인요양시설","노인의료복지시설","자치구","장영실","1123000000","동대문구","서울특별시 동대문구 망우로 82 (휘경동)"
"시립동부노인전문요양센터","A2112","(노인) 노인요양시설","노인의료복지시설","자치구","곽금봉","1120000000","성동구","서울특별시 성동구 마장로23길 12 (홍익동)"
"정원치매노인요양센터","A2159","(노인) 노인요양시설","노인의료복지시설","자치구","이호석","1138000000","은평구","경기도 파주시 장지산로200번길 32-83(광탄면)"
"청암노인요양원","A2214","(노인) 노인요양시설","노인의료복지시설","자치구","이성희","1171000000","송파구","서울특별시 송파구 성내천로 193 (마천동)"
"정원노인요양원","A2215","(노인) 노인요양시설","노인의료복지시설","자치구","강혜식","1138000000","은평구","경기도 파주시 장지산로200번길 32-83(광탄면)"
"서초성심노인복지센터","A2361","(노인) 노인요양시설","노인의료복지시설","자치구","오명숙","1165000000","서초구","서울특별시 서초구 반포대로22길 61 (서초동 1558-15)"
"일광노인요양센터","A2412","(노인) 노인요양시설","노인의료복지시설","자치구","장성란","1129000000","성북구","서울특별시 성북구 보문로31길 70 (삼선동3가)"
