     자치구  2021      2022      2023 복지관수       rate       wrate ratescore welscore sum
23   강남구 78078  81622.74  84975.47       10  8.8340762 0.012807705        21       22  43
24   송파구 97503 102393.14 107283.27       23 10.0307375 0.023589018        24       18  42
22   서초구 60574  62722.56  64871.12        6  7.0940007 0.009905240        17       24  41
15   양천구 68483  71776.97  75070.95       22  9.6198327 0.032124761        23       15  38
25   강동구 73943  78220.50  82576.53       24 11.6759261 0.032457433        25       13  38
16   강서구 92336  96573.36 100499.02       30  8.8405606 0.032490036        22       12  34
12   은평구 87038  90476.80  92796.45       24  6.6160183 0.027574163        15       16  31
14   마포구 54231  55335.81  55981.04        4  3.2270104 0.007375855         5       25  30
17   구로구 71445  73689.00  75933.00       17  6.2817552 0.023794527        13       17  30
11   노원구 88271  91653.92  95036.84       30  7.6648503 0.033986247        20       10  30
20   동작구 66320  68237.24  69975.57       10  5.5120175 0.015078408        10       19  29
4    성동구 46201  47812.41  48346.97        6  4.6448562 0.012986732         7       20  27
2      중구 24037  24107.91  23986.99        3 -0.2080542 0.012480759         3       23  26
3    용산구 38552  38753.14  38770.78        5  0.5674933 0.012969496         4       21  25
5    광진구 51450  53393.35  54819.79       20  6.5496404 0.038872692        14        8  22
7    중랑구 71560  74292.37  77024.75       48  7.6365987 0.067076579        19        2  21
8    성북구 74545  76549.85  77956.16       24  4.5759742 0.032195318         6       14  20
9    강북구 64218  66577.43  68576.38       32  6.7868510 0.049830266        16        4  20
10   도봉구 64114  66499.70  68886.65       54  7.4440060 0.084224974        18        1  19
19 영등포구 61295  62970.10  64645.21       21  5.4657150 0.034260543         9        9  18
6  동대문구 62009  64170.67  65519.88       25  5.6618878 0.040316728        12        6  18
18   금천구 40442  41570.00  42698.00       25  5.5783591 0.061816923        11        3  14
21   관악구 79371  81822.11  83429.24       36  5.1130010 0.045356616         8        5  13
13 서대문구 53822  53411.52  53411.52       18 -0.7626621 0.033443573         1       11  12
1    종로구 27609  27958.96  27473.97       11 -0.4890796 0.039842080         2        7   9
